Nodes,Algorithm,Cost,Time (s),Memory (MB)
28,Branch and Bound,,,
28,Twice-Around-the-Tree,624.27,0.02,0.15
28,Christofides,536.33,0.03,0.19
28,Branch and Bound,,,
28,Twice-Around-the-Tree,588.49,0.02,0.15
28,Christofides,535.36,0.03,0.2
28,Branch and Bound,,,
30,Twice-Around-the-Tree,597.82,0.03,0.2
30,Christofides,547.88,0.04,0.2
30,Branch and Bound,,,
30,Twice-Around-the-Tree,657.28,0.02,0.17
30,Christofides,569.34,0.04,0.24
30,Branch and Bound,,,
30,Twice-Around-the-Tree,700.6,0.02,0.17
30,Christofides,575.16,0.04,0.23
30,Branch and Bound,,,
30,Twice-Around-the-Tree,634.64,0.01,0.2
30,Christofides,495.58,0.04,0.25
30,Twice-Around-the-Tree,687.69,0.02,0.17
30,Christofides,535.57,0.03,0.2
30,Twice-Around-the-Tree,587.85,0.02,0.17
30,Christofides,530.49,0.03,0.24
40,Twice-Around-the-Tree,731.46,0.03,0.3
40,Christofides,594.69,0.05,0.37
40,Twice-Around-the-Tree,767.72,0.03,0.28
40,Christofides,657.47,0.06,0.41
40,Twice-Around-the-Tree,579.79,0.03,0.27
40,Christofides,571.3,0.04,0.33
50,Twice-Around-the-Tree,722.15,0.04,0.55
50,Christofides,635.03,0.07,0.58
50,Twice-Around-the-Tree,758.96,0.06,0.47
50,Christofides,689.5,0.1,0.61
50,Twice-Around-the-Tree,753.89,0.06,0.47
50,Christofides,619.43,0.14,0.53
60,Twice-Around-the-Tree,871.55,0.05,0.68
60,Christofides,725.49,0.13,0.83
60,Twice-Around-the-Tree,852.0,0.07,0.77
60,Christofides,724.45,0.2,0.97
60,Twice-Around-the-Tree,824.15,0.05,0.64
60,Christofides,668.09,0.1,0.8
70,Twice-Around-the-Tree,840.36,0.08,0.87
70,Christofides,753.09,0.31,1.2
70,Twice-Around-the-Tree,876.11,0.1,0.87
70,Christofides,731.65,0.21,1.05
70,Twice-Around-the-Tree,901.64,0.12,1.01
70,Christofides,779.06,0.27,1.06
80,Twice-Around-the-Tree,913.01,0.14,1.15
80,Christofides,765.69,0.21,1.38
80,Twice-Around-the-Tree,860.02,0.11,1.15
80,Christofides,832.75,0.22,1.39
80,Twice-Around-the-Tree,953.52,0.12,1.29
80,Christofides,827.75,0.34,1.37
90,Twice-Around-the-Tree,976.98,0.16,1.68
90,Christofides,840.74,0.35,1.87
90,Twice-Around-the-Tree,904.47,0.11,1.68
90,Christofides,777.98,0.21,1.91
90,Twice-Around-the-Tree,1053.63,0.13,1.68
90,Christofides,828.92,0.3,1.88
100,Twice-Around-the-Tree,1047.97,0.15,2.05
100,Christofides,913.53,0.51,2.41
100,Twice-Around-the-Tree,1068.39,0.19,2.19
100,Christofides,876.97,0.31,2.11
100,Twice-Around-the-Tree,959.75,0.16,2.08
100,Christofides,855.59,0.4,2.19
76,Twice-Around-the-Tree,915.87,0.11,1.17
76,Christofides,765.1,0.21,1.24
107,Twice-Around-the-Tree,783.22,0.27,2.36
